id,experiment,input,label,max,min
0,0.1-2,0.0136387169951116,-0.07770297,1.311237624,-1.388940594
0,0.1-2,0.0446893756121458,0.029138614,1.311237624,-1.388940594
0,0.1-2,0.0208969396637529,-0.087415842,1.311237624,-1.388940594
0,0.1-2,0.0113014283393916,0.029138614,1.311237624,-1.388940594
0,0.1-2,0.0092427866670862,-0.029138614,1.311237624,-1.388940594
0,0.1-2,-0.0203731001896058,0.038851485,1.311237624,-1.388940594
0,0.1-2,-0.0097955174597453,-0.067990099,1.311237624,-1.388940594
0,0.1-2,0.013344855890605,0.029138614,1.311237624,-1.388940594
0,0.1-2,0.0144931617540314,-0.019425743,1.311237624,-1.388940594
0,0.1-2,0.0331707080572173,-0.019425743,1.311237624,-1.388940594
0,0.1-2,0.0089800683981915,0.019425743,1.311237624,-1.388940594
0,0.1-2,0.0035223429871443,0.009712871,1.311237624,-1.388940594
0,0.1-2,0.0164270444408868,-0.009712871,1.311237624,-1.388940594
0,0.1-2,0.0167719789382781,-0.038851485,1.311237624,-1.388940594
0,0.1-2,-0.0032121450104947,-0.009712871,1.311237624,-1.388940594
0,0.1-2,0.0198487841932494,-0.048564356,1.311237624,-1.388940594
0,0.1-2,0.0283312454486524,-0.038851485,1.311237624,-1.388940594
0,0.1-2,0.0136365847753926,-0.048564356,1.311237624,-1.388940594
0,0.1-2,0.0134191126731637,-0.029138614,1.311237624,-1.388940594
0,0.1-2,0.0342397445518633,-0.038851485,1.311237624,-1.388940594
0,0.1-2,0.0148822470720121,0.058277228,1.311237624,-1.388940594
0,0.1-2,0.0065052874285971,-0.087415842,1.311237624,-1.388940594
0,0.1-2,0.0238970410986321,0.038851485,1.311237624,-1.388940594
0,0.1-2,0.0086075443409143,-0.067990099,1.311237624,-1.388940594
0,0.1-2,0.0031872167697537,0.087415842,1.311237624,-1.388940594
0,0.1-2,0.0258629399925037,-0.116554455,1.311237624,-1.388940594
0,0.1-2,0.0408080084494032,0.07770297,1.311237624,-1.388940594
0,0.1-2,0.0253662336998149,-0.087415842,1.311237624,-1.388940594
0,0.1-2,0.0013009969315723,0.058277228,1.311237624,-1.388940594
0,0.1-2,0.0103616466062523,-0.048564356,1.311237624,-1.388940594
0,0.1-2,0.0375465639140179,0.0,1.311237624,-1.388940594
0,0.1-2,0.0147031261077733,-0.067990099,1.311237624,-1.388940594
0,0.1-2,0.0245530548582632,0.009712871,1.311237624,-1.388940594
0,0.1-2,0.1383712319583112,-0.058277228,1.311237624,-1.388940594
0,0.1-2,0.2593463796841161,0.009712871,1.311237624,-1.388940594
0,0.1-2,0.2767453844589922,0.097128713,1.311237624,-1.388940594
0,0.1-2,0.2419869585427729,0.194257426,1.311237624,-1.388940594
0,0.1-2,0.1152680225733889,0.233108911,1.311237624,-1.388940594
