id,experiment,input,label,max,min
8,0.1-2,-0.0135152153127343,-0.029138614,1.291811881,-1.515207921
8,0.1-2,-0.0204226121703451,-0.097128713,1.291811881,-1.515207921
8,0.1-2,-0.0209402138049734,-0.067990099,1.291811881,-1.515207921
8,0.1-2,-0.0272477991692737,-0.135980198,1.291811881,-1.515207921
8,0.1-2,-0.0198368140926519,0.0,1.291811881,-1.515207921
8,0.1-2,0.0037057919581385,-0.106841584,1.291811881,-1.515207921
8,0.1-2,-0.0329538041399158,-0.058277228,1.291811881,-1.515207921
8,0.1-2,-0.0150940965391374,-0.07770297,1.291811881,-1.515207921
8,0.1-2,-0.0130085555991692,-0.038851485,1.291811881,-1.515207921
8,0.1-2,-0.003319490270213,-0.067990099,1.291811881,-1.515207921
8,0.1-2,-0.0071432920996261,-0.087415842,1.291811881,-1.515207921
8,0.1-2,-0.0171091271769873,-0.07770297,1.291811881,-1.515207921
8,0.1-2,-0.014297860906116,-0.058277228,1.291811881,-1.515207921
8,0.1-2,0.0013080467026806,-0.07770297,1.291811881,-1.515207921
8,0.1-2,-0.0190101847880482,-0.019425743,1.291811881,-1.515207921
8,0.1-2,-0.0223294968652604,-0.106841584,1.291811881,-1.515207921
8,0.1-2,-0.0205344325372324,-0.087415842,1.291811881,-1.515207921
8,0.1-2,-0.0053913313003129,-0.029138614,1.291811881,-1.515207921
8,0.1-2,-0.0286013436541005,-0.048564356,1.291811881,-1.515207921
8,0.1-2,-0.0106237883557389,-0.067990099,1.291811881,-1.515207921
8,0.1-2,-0.0186376358591105,-0.07770297,1.291811881,-1.515207921
8,0.1-2,-0.0132018156155606,-0.067990099,1.291811881,-1.515207921
8,0.1-2,-0.0269780727908102,-0.106841584,1.291811881,-1.515207921
8,0.1-2,-0.0225397147564134,-0.067990099,1.291811881,-1.515207921
8,0.1-2,0.0007358119964418,-0.058277228,1.291811881,-1.515207921
8,0.1-2,-0.0139020718129253,0.0,1.291811881,-1.515207921
8,0.1-2,-0.0161493278841302,-0.067990099,1.291811881,-1.515207921
8,0.1-2,-0.0130707475401401,0.038851485,1.291811881,-1.515207921
8,0.1-2,0.0047812282264026,-0.067990099,1.291811881,-1.515207921
8,0.1-2,-0.0280537134034164,-0.038851485,1.291811881,-1.515207921
8,0.1-2,-0.0155653964794702,-0.07770297,1.291811881,-1.515207921
8,0.1-2,-0.0016372805472308,0.009712871,1.291811881,-1.515207921
8,0.1-2,-0.0307191957098498,-0.07770297,1.291811881,-1.515207921
8,0.1-2,-0.0255334355232086,-0.087415842,1.291811881,-1.515207921
8,0.1-2,-0.0167455063944198,-0.087415842,1.291811881,-1.515207921
8,0.1-2,-0.002628253882816,-0.029138614,1.291811881,-1.515207921
8,0.1-2,-0.016784645507914,-0.07770297,1.291811881,-1.515207921
8,0.1-2,-0.0038382881013139,-0.038851485,1.291811881,-1.515207921
8,0.1-2,-0.0093409901574816,-0.038851485,1.291811881,-1.515207921
8,0.1-2,-0.0083705997230572,-0.067990099,1.291811881,-1.515207921
8,0.1-2,0.0114357514066526,0.038851485,1.291811881,-1.515207921
8,0.1-2,0.1411489814135477,0.165118812,1.291811881,-1.515207921
8,0.1-2,0.2423953212255052,0.262247525,1.291811881,-1.515207921
8,0.1-2,0.2993700324187339,0.194257426,1.291811881,-1.515207921
