Time (s),Raw Acceleration,Acceleration x (m/s^2)
3.18,2541,-0.009712871
3.19,2551,-0.106841584
3.2,2545,-0.048564356
3.21,2548,-0.07770297
3.22,2546,-0.058277228
3.23,2547,-0.067990099
3.24,2544,-0.038851485
3.25,2543,-0.029138614
3.26,2547,-0.067990099
3.27,2543,-0.029138614
3.28,2551,-0.106841584
3.29,2544,-0.038851485
3.3,2552,-0.116554455
3.31,2545,-0.048564356
3.32,2549,-0.087415842
3.33,2539,0.009712871
3.34,2544,-0.038851485
3.35,2547,-0.067990099
3.36,2544,-0.038851485
3.37,2539,0.009712871
3.38,2510,0.291386139
3.39,2507,0.320524752
3.4,2496,0.427366337
3.41,2516,0.233108911
3.42,2520,0.194257426
3.43,2536,0.038851485
3.44,2540,0
3.45,2555,-0.145693069
3.46,2557,-0.165118812
3.47,2566,-0.252534653
3.48,2575,-0.339950495
3.49,2592,-0.505069307
3.5,2596,-0.543920792
3.51,2585,-0.437079208
3.52,2575,-0.339950495
3.53,2572,-0.310811881
3.54,2589,-0.475930693
3.55,2600,-0.582772277
3.56,2599,-0.573059406
3.57,2582,-0.407940594
3.58,2575,-0.339950495
3.59,2582,-0.407940594
3.6,2592,-0.505069307
3.61,2588,-0.466217822
3.62,2575,-0.339950495
3.63,2563,-0.22339604
3.64,2551,-0.106841584
3.65,2551,-0.106841584
3.66,2538,0.019425743
3.67,2543,-0.029138614
3.68,2514,0.252534653
3.69,2513,0.262247525
3.7,2489,0.495356436
3.71,2493,0.45650495
3.72,2494,0.446792079
3.73,2490,0.485643564
3.74,2457,0.806168317
3.75,2453,0.845019802
3.76,2445,0.922722772
3.77,2448,0.893584158
3.78,2428,1.087841584
3.79,2443,0.942148515
3.8,2472,0.660475248
3.81,2491,0.475930693
3.82,2487,0.514782178
3.83,2483,0.553633663
3.84,2484,0.543920792
3.85,2490,0.485643564
3.86,2511,0.281673267
3.87,2525,0.145693069
3.88,2539,0.009712871
3.89,2540,0
3.9,2556,-0.155405941
3.91,2573,-0.320524752
3.92,2582,-0.407940594
3.93,2609,-0.670188119
3.94,2608,-0.660475248
3.95,2650,-1.068415842
3.96,2651,-1.078128713
3.97,2666,-1.223821782
3.98,2673,-1.291811881
3.99,2708,-1.631762376
4,2708,-1.631762376
4.01,2698,-1.534633663
4.02,2649,-1.05870297
4.03,2636,-0.932435644
4.04,2650,-1.068415842
4.05,2668,-1.243247525
4.06,2664,-1.20439604
4.07,2650,-1.068415842
4.08,2632,-0.893584158
4.09,2611,-0.689613861
4.1,2604,-0.621623762
4.11,2581,-0.398227723
4.12,2583,-0.417653465
4.13,2556,-0.155405941
4.14,2542,-0.019425743
4.15,2511,0.281673267
4.16,2504,0.349663366
4.17,2489,0.495356436
4.18,2457,0.806168317
4.19,2446,0.913009901
4.2,2391,1.447217822
4.21,2373,1.622049505
4.22,2364,1.709465347
4.23,2368,1.670613861
4.24,2350,1.845445545
4.25,2356,1.787168317
4.26,2342,1.923148515
4.27,2353,1.816306931
4.28,2377,1.58319802
4.29,2408,1.28209901
4.3,2422,1.146118812
4.31,2411,1.252960396
4.32,2418,1.184970297
4.33,2446,0.913009901
4.34,2458,0.796455446
4.35,2478,0.60219802
4.36,2502,0.369089109
4.37,2510,0.291386139
4.38,2558,-0.174831683
4.39,2578,-0.369089109
4.4,2612,-0.699326733
4.41,2613,-0.709039604
4.42,2656,-1.126693069
4.43,2689,-1.447217822
4.44,2694,-1.495782178
4.45,2714,-1.690039604
4.46,2741,-1.952287129
4.47,2784,-2.369940594
4.48,2790,-2.428217822
4.49,2821,-2.729316832
4.5,2777,-2.301950495
4.51,2724,-1.787168317
4.52,2682,-1.379227723
4.53,2702,-1.573485149
4.54,2698,-1.534633663
4.55,2693,-1.486069307
4.56,2670,-1.262673267
4.57,2657,-1.136405941
4.58,2628,-0.854732673
4.59,2626,-0.835306931
4.6,2599,-0.573059406
4.61,2573,-0.320524752
4.62,2555,-0.145693069
4.63,2540,0
4.64,2522,0.174831683
4.65,2479,0.592485149
4.66,2464,0.738178218
4.67,2437,1.000425743
4.68,2424,1.126693069
4.69,2394,1.418079208
4.7,2367,1.680326733
4.71,2345,1.894009901
4.72,2308,2.253386139
4.73,2325,2.088267327
4.74,2315,2.18539604
4.75,2317,2.165970297
4.76,2317,2.165970297
4.77,2368,1.670613861
4.78,2389,1.466643564
4.79,2413,1.233534653
4.8,2406,1.301524752
4.81,2438,0.990712871
4.82,2441,0.961574257
4.83,2452,0.854732673
4.84,2477,0.611910891
4.85,2497,0.417653465
4.86,2514,0.252534653
4.87,2532,0.07770297
4.88,2557,-0.165118812
4.89,2581,-0.398227723
4.9,2612,-0.699326733
4.91,2621,-0.786742574
4.92,2655,-1.116980198
4.93,2678,-1.340376238
4.94,2699,-1.544346535
4.95,2701,-1.563772277
4.96,2739,-1.932861386
4.97,2775,-2.282524752
4.98,2792,-2.447643564
4.99,2820,-2.71960396
5,2788,-2.408792079
5.01,2730,-1.845445545
5.02,2683,-1.388940594
5.03,2700,-1.554059406
5.04,2690,-1.456930693
5.05,2696,-1.515207921
5.06,2667,-1.233534653
5.07,2666,-1.223821782
5.08,2631,-0.883871287
5.09,2627,-0.845019802
5.1,2598,-0.563346535
5.11,2582,-0.407940594
5.12,2564,-0.233108911
5.13,2530,0.097128713
5.14,2522,0.174831683
5.15,2486,0.52449505
5.16,2462,0.75760396
5.17,2436,1.010138614
5.18,2425,1.116980198
5.19,2388,1.476356436
5.2,2369,1.66090099
5.21,2347,1.874584158
5.22,2314,2.195108911
5.23,2318,2.156257426
5.24,2314,2.195108911
5.25,2318,2.156257426
5.26,2314,2.195108911
5.27,2354,1.806594059
5.28,2386,1.495782178
5.29,2421,1.155831683
5.3,2406,1.301524752
5.31,2436,1.010138614
5.32,2432,1.048990099
5.33,2451,0.864445545
5.34,2468,0.699326733
5.35,2496,0.427366337
5.36,2501,0.37880198
5.37,2532,0.07770297
5.38,2559,-0.184544554
5.39,2575,-0.339950495
5.4,2606,-0.641049505
5.41,2616,-0.738178218
5.42,2649,-1.05870297
5.43,2680,-1.35980198
5.44,2692,-1.476356436
5.45,2699,-1.544346535
5.46,2745,-1.991138614
5.47,2781,-2.34080198
5.48,2797,-2.496207921
5.49,2829,-2.807019802
5.5,2785,-2.379653465
5.51,2731,-1.855158416
5.52,2681,-1.369514851
5.53,2699,-1.544346535
5.54,2688,-1.43750495
5.55,2696,-1.515207921
5.56,2662,-1.184970297
5.57,2671,-1.272386139
5.58,2632,-0.893584158
5.59,2622,-0.796455446
5.6,2586,-0.446792079
5.61,2580,-0.388514851
5.62,2564,-0.233108911
5.63,2548,-0.07770297
5.64,2523,0.165118812
5.65,2482,0.563346535
5.66,2473,0.650762376
5.67,2442,0.951861386
5.68,2427,1.097554455
5.69,2392,1.43750495
5.7,2359,1.758029703
5.71,2336,1.981425743
5.72,2315,2.18539604
5.73,2322,2.117405941
5.74,2320,2.136831683
5.75,2318,2.156257426
5.76,2314,2.195108911
5.77,2360,1.748316832
5.78,2382,1.534633663
5.79,2416,1.20439604
5.8,2409,1.272386139
5.81,2431,1.05870297
5.82,2444,0.932435644
5.83,2449,0.883871287
5.84,2470,0.67990099
5.85,2504,0.349663366
5.86,2495,0.437079208
5.87,2532,0.07770297
5.88,2555,-0.145693069
5.89,2584,-0.427366337
5.9,2616,-0.738178218
5.91,2621,-0.786742574
5.92,2651,-1.078128713
5.93,2672,-1.28209901
5.94,2696,-1.515207921
5.95,2703,-1.58319802
5.96,2756,-2.097980198
5.97,2780,-2.331089109
5.98,2790,-2.428217822
5.99,2828,-2.797306931
6,2785,-2.379653465
6.01,2734,-1.88429703
6.02,2686,-1.418079208
6.03,2709,-1.641475248
6.04,2683,-1.388940594
6.05,2691,-1.466643564
6.06,2659,-1.155831683
6.07,2665,-1.214108911
6.08,2631,-0.883871287
6.09,2623,-0.806168317
6.1,2593,-0.514782178
6.11,2581,-0.398227723
6.12,2561,-0.203970297
6.13,2551,-0.106841584
6.14,2513,0.262247525
6.15,2475,0.631336634
6.16,2464,0.738178218
6.17,2441,0.961574257
6.18,2433,1.039277228
6.19,2388,1.476356436
6.2,2365,1.699752475
6.21,2326,2.078554455
6.22,2306,2.272811881
6.23,2314,2.195108911
6.24,2319,2.146544554
6.25,2319,2.146544554
6.26,2321,2.127118812
6.27,2362,1.728891089
6.28,2380,1.554059406
6.29,2410,1.262673267
6.3,2403,1.330663366
6.31,2435,1.019851485
6.32,2449,0.883871287
6.33,2462,0.75760396
6.34,2471,0.670188119
6.35,2509,0.30109901
6.36,2507,0.320524752
6.37,2527,0.126267327
6.38,2561,-0.203970297
6.39,2588,-0.466217822
6.4,2605,-0.631336634
6.41,2621,-0.786742574
6.42,2650,-1.068415842
6.43,2677,-1.330663366
6.44,2694,-1.495782178
6.45,2719,-1.73860396
6.46,2753,-2.068841584
6.47,2789,-2.41850495
6.48,2788,-2.408792079
6.49,2830,-2.816732673
6.5,2782,-2.350514851
6.51,2731,-1.855158416
6.52,2682,-1.379227723
6.53,2701,-1.563772277
6.54,2684,-1.398653465
6.55,2690,-1.456930693
6.56,2669,-1.252960396
6.57,2666,-1.223821782
6.58,2636,-0.932435644
6.59,2620,-0.777029703
6.6,2584,-0.427366337
6.61,2565,-0.242821782
6.62,2566,-0.252534653
6.63,2530,0.097128713
6.64,2522,0.174831683
6.65,2478,0.60219802
6.66,2469,0.689613861
6.67,2428,1.087841584
6.68,2416,1.20439604
6.69,2386,1.495782178
6.7,2358,1.767742574
6.71,2334,2.000851485
6.72,2299,2.34080198
6.73,2320,2.136831683
6.74,2314,2.195108911
6.75,2306,2.272811881
6.76,2317,2.165970297
6.77,2361,1.73860396
6.78,2394,1.418079208
6.79,2411,1.252960396
6.8,2411,1.252960396
6.81,2437,1.000425743
6.82,2445,0.922722772
6.83,2436,1.010138614
6.84,2476,0.621623762
6.85,2493,0.45650495
6.86,2522,0.174831683
6.87,2525,0.145693069
6.88,2570,-0.291386139
6.89,2585,-0.437079208
6.9,2600,-0.582772277
6.91,2623,-0.806168317
6.92,2659,-1.155831683
6.93,2693,-1.486069307
6.94,2689,-1.447217822
6.95,2725,-1.796881188
6.96,2751,-2.049415842
6.97,2801,-2.535059406
6.98,2726,-1.806594059
6.99,2899,-3.486920792
7,2791,-2.437930693
7.01,2721,-1.758029703
7.02,2676,-1.320950495
7.03,2699,-1.544346535
7.04,2685,-1.408366337
7.05,2687,-1.427792079
7.06,2677,-1.330663366
7.07,2655,-1.116980198
7.08,2637,-0.942148515
7.09,2615,-0.728465347
7.1,2598,-0.563346535
7.11,2569,-0.281673267
7.12,2559,-0.184544554
7.13,2530,0.097128713
7.14,2497,0.417653465
7.15,2466,0.718752475
7.16,2454,0.835306931
7.17,2433,1.039277228
7.18,2410,1.262673267
7.19,2378,1.573485149
7.2,2348,1.864871287
7.21,2327,2.068841584
7.22,2304,2.292237624
7.23,2324,2.097980198
7.24,2307,2.26309901
7.25,2297,2.360227723
7.26,2324,2.097980198
7.27,2361,1.73860396
7.28,2405,1.311237624
7.29,2415,1.214108911
7.3,2418,1.184970297
7.31,2433,1.039277228
7.32,2454,0.835306931
7.33,2442,0.951861386
7.34,2471,0.670188119
7.35,2491,0.475930693
7.36,2515,0.242821782
7.37,2536,0.038851485
7.38,2564,-0.233108911
7.39,2599,-0.573059406
7.4,2606,-0.641049505
7.41,2643,-1.000425743
7.42,2659,-1.155831683
7.43,2703,-1.58319802
7.44,2685,-1.408366337
7.45,2730,-1.845445545
7.46,2757,-2.107693069
7.47,2805,-2.573910891
7.48,2790,-2.428217822
7.49,2844,-2.952712871
7.5,2766,-2.195108911
7.51,2707,-1.622049505
7.52,2682,-1.379227723
7.53,2691,-1.466643564
7.54,2694,-1.495782178
7.55,2690,-1.456930693
7.56,2685,-1.408366337
7.57,2651,-1.078128713
7.58,2633,-0.90329703
7.59,2608,-0.660475248
7.6,2583,-0.417653465
7.61,2573,-0.320524752
7.62,2546,-0.058277228
7.63,2531,0.087415842
7.64,2480,0.582772277
7.65,2472,0.660475248
7.66,2438,0.990712871
7.67,2446,0.913009901
7.68,2408,1.28209901
7.69,2376,1.592910891
7.7,2342,1.923148515
7.71,2322,2.117405941
7.72,2304,2.292237624
7.73,2335,1.991138614
7.74,2310,2.233960396
7.75,2287,2.457356436
7.76,2327,2.068841584
7.77,2359,1.758029703
7.78,2415,1.214108911
7.79,2417,1.194683168
7.8,2421,1.155831683
7.81,2426,1.107267327
7.82,2446,0.913009901
7.83,2459,0.786742574
7.84,2473,0.650762376
7.85,2499,0.398227723
7.86,2514,0.252534653
7.87,2550,-0.097128713
7.88,2553,-0.126267327
7.89,2600,-0.582772277
7.9,2610,-0.67990099
7.91,2645,-1.019851485
7.92,2666,-1.223821782
7.93,2701,-1.563772277
7.94,2693,-1.486069307
7.95,2732,-1.864871287
7.96,2768,-2.214534653
7.97,2800,-2.525346535
7.98,2810,-2.622475248
7.99,2838,-2.894435644
8,2769,-2.224247525
8.01,2703,-1.58319802
8.02,2688,-1.43750495
8.03,2690,-1.456930693
8.04,2694,-1.495782178
8.05,2686,-1.418079208
8.06,2672,-1.28209901
8.07,2657,-1.136405941
8.08,2615,-0.728465347
8.09,2615,-0.728465347
8.1,2574,-0.330237624
8.11,2573,-0.320524752
8.12,2541,-0.009712871
8.13,2531,0.087415842
8.14,2471,0.670188119
8.15,2462,0.75760396
8.16,2435,1.019851485
8.17,2431,1.05870297
8.18,2400,1.35980198
8.19,2370,1.651188119
8.2,2347,1.874584158
8.21,2307,2.26309901
8.22,2317,2.165970297
8.23,2319,2.146544554
8.24,2302,2.311663366
8.25,2291,2.41850495
8.26,2330,2.03970297
8.27,2368,1.670613861
8.28,2411,1.252960396
8.29,2425,1.116980198
8.3,2409,1.272386139
8.31,2437,1.000425743
8.32,2439,0.981
8.33,2474,0.641049505
8.34,2472,0.660475248
8.35,2504,0.349663366
8.36,2518,0.213683168
8.37,2549,-0.087415842
8.38,2563,-0.22339604
8.39,2604,-0.621623762
8.4,2618,-0.75760396
8.41,2646,-1.029564356
8.42,2672,-1.28209901
8.43,2689,-1.447217822
8.44,2697,-1.524920792
8.45,2736,-1.903722772
8.46,2770,-2.233960396
8.47,2799,-2.515633663
8.48,2816,-2.680752475
8.49,2833,-2.845871287
8.5,2753,-2.068841584
8.51,2701,-1.563772277
8.52,2682,-1.379227723
8.53,2697,-1.524920792
8.54,2698,-1.534633663
8.55,2690,-1.456930693
8.56,2674,-1.301524752
8.57,2659,-1.155831683
8.58,2618,-0.75760396
8.59,2614,-0.718752475
8.6,2581,-0.398227723
8.61,2577,-0.359376238
8.62,2539,0.009712871
8.63,2527,0.126267327
8.64,2485,0.534207921
8.65,2463,0.747891089
8.66,2442,0.951861386
8.67,2428,1.087841584
8.68,2404,1.320950495
8.69,2364,1.709465347
8.7,2353,1.816306931
8.71,2311,2.224247525
8.72,2310,2.233960396
8.73,2319,2.146544554
8.74,2306,2.272811881
8.75,2301,2.321376238
8.76,2324,2.097980198
8.77,2373,1.622049505
