Time (s),Raw Acceleration,Acceleration x (m/s^2)
4.41,2542,-0.019425743
4.42,2521,0.184544554
4.43,2517,0.22339604
4.44,2531,0.087415842
4.45,2578,-0.369089109
4.46,2630,-0.874158416
4.47,2641,-0.981
4.48,2616,-0.738178218
4.49,2532,0.07770297
4.5,2476,0.621623762
4.51,2384,1.515207921
4.52,2404,1.320950495
4.53,2400,1.35980198
4.54,2476,0.621623762
4.55,2569,-0.281673267
4.56,2674,-1.301524752
4.57,2779,-2.321376238
4.58,2812,-2.64190099
4.59,2730,-1.845445545
4.6,2623,-0.806168317
4.61,2504,0.349663366
4.62,2384,1.515207921
4.63,2310,2.233960396
4.64,2261,2.709891089
4.65,2276,2.56419802
4.66,2381,1.544346535
4.67,2557,-0.165118812
4.68,2702,-1.573485149
4.69,2867,-3.176108911
4.7,2930,-3.788019802
4.71,2836,-2.875009901
4.72,2681,-1.369514851
4.73,2521,0.184544554
4.74,2393,1.427792079
4.75,2282,2.505920792
4.76,2239,2.923574257
4.77,2248,2.836158416
4.78,2332,2.020277228
4.79,2480,0.582772277
4.8,2634,-0.913009901
4.81,2787,-2.399079208
4.82,2900,-3.496633663
4.83,2900,-3.496633663
4.84,2764,-2.175683168
4.85,2602,-0.60219802
4.86,2476,0.621623762
4.87,2320,2.136831683
4.88,2277,2.554485149
4.89,2219,3.117831683
4.9,2286,2.467069307
4.91,2395,1.408366337
4.92,2568,-0.271960396
4.93,2717,-1.719178218
4.94,2844,-2.952712871
4.95,2934,-3.826871287
4.96,2828,-2.797306931
4.97,2686,-1.418079208
4.98,2526,0.135980198
4.99,2407,1.291811881
5,2288,2.447643564
5.01,2229,3.02070297
5.02,2248,2.836158416
5.03,2326,2.078554455
5.04,2479,0.592485149
5.05,2635,-0.922722772
5.06,2795,-2.476782178
5.07,2885,-3.350940594
5.08,2895,-3.448069307
5.09,2753,-2.068841584
5.1,2614,-0.718752475
5.11,2477,0.611910891
5.12,2335,1.991138614
5.13,2257,2.748742574
5.14,2235,2.962425743
5.15,2272,2.603049505
5.16,2396,1.398653465
5.17,2557,-0.165118812
5.18,2729,-1.835732673
5.19,2846,-2.972138614
5.2,2919,-3.681178218
5.21,2829,-2.807019802
5.22,2679,-1.350089109
5.23,2539,0.009712871
5.24,2429,1.078128713
5.25,2277,2.554485149
5.26,2241,2.904148515
5.27,2245,2.86529703
5.28,2324,2.097980198
5.29,2476,0.621623762
5.3,2635,-0.922722772
5.31,2791,-2.437930693
5.32,2881,-3.312089109
5.33,2897,-3.46749505
5.34,2745,-1.991138614
5.35,2616,-0.738178218
5.36,2492,0.466217822
5.37,2349,1.855158416
5.38,2255,2.768168317
5.39,2236,2.952712871
5.4,2294,2.389366337
5.41,2382,1.534633663
5.42,2557,-0.165118812
5.43,2707,-1.622049505
5.44,2851,-3.02070297
5.45,2913,-3.62290099
5.46,2830,-2.816732673
5.47,2669,-1.252960396
5.48,2550,-0.097128713
5.49,2418,1.184970297
5.5,2292,2.408792079
5.51,2225,3.059554455
5.52,2267,2.651613861
5.53,2319,2.146544554
5.54,2459,0.786742574
5.55,2619,-0.767316832
5.56,2796,-2.48649505
5.57,2893,-3.428643564
5.58,2884,-3.341227723
5.59,2751,-2.049415842
