Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
24.81,0.055533826,0.117604682,9.731105762
24.82,0.022107077,0.147857083,9.757435397
24.83,0.01142574,0.146517007,9.73568331
24.84,-0.010932541,0.174941109,9.648490324
24.85,0.039344534,0.14010616,9.699900117
24.86,0.009243554,0.12749435,9.724389618
24.87,0.05026166,0.142156782,9.707127989
24.88,0.012472908,0.128142465,9.616754334
24.89,0.043905809,0.157588431,9.744553253
24.9,0.003335784,0.13906339,9.733279585
24.91,0.047095261,0.160451353,9.717673662
24.92,-0.000818265,0.121284095,9.633785303
24.93,0.044124013,0.163458795,9.7332735
24.94,0.004171113,0.150807708,9.73001134
24.95,0.038246534,0.18985346,9.702141162
24.96,0.001597884,0.147018383,9.622954176
24.97,0.06117376,0.153740281,9.717444304
24.98,-0.01506992,0.134100293,9.721585904
24.99,0.03441013,0.16989129,9.670048764
25,-0.033863903,0.119388427,9.677646317
25.01,0.040923221,0.171692359,9.777361045
25.02,-0.009158984,0.168498163,9.699478442
25.03,0.040273717,0.168769754,9.72056033
25.04,-0.000370696,0.137107388,9.6608733
25.05,0.057937762,0.152502905,9.77918727
25.06,0.018199333,0.155768865,9.635882751
25.07,0.005922485,0.147822511,9.705905745
25.08,-0.000187239,0.144100052,9.651307063
25.09,0.024106829,0.142738286,9.73130565
25.1,0.019724328,0.150145401,9.675266405
25.11,0.039268296,0.159535865,9.658746919
25.12,0.011126004,0.128856768,9.66829924
25.13,0.058492971,0.141869058,9.731687397
25.14,-0.006671409,0.148320697,9.666347497
25.15,0.053663938,0.150844027,9.67924325
25.16,-0.014943357,0.134979175,9.702136036
25.17,0.054702499,0.174145414,9.760790354
25.18,-0.029227131,0.159337077,9.654682858
25.19,0.019784488,0.184173865,9.683260116
25.2,-0.013150598,0.126363227,9.703216199
25.21,0.098022074,0.205284119,9.797906415
25.22,0.152675044,0.149719487,9.64060315
25.23,0.301067135,0.149795648,9.719995831
25.24,0.23162783,0.146863017,9.731819278
25.25,0.1653196,0.167090308,9.745912353
