Time (s),Raw Acceleration,Acceleration x (m/s^2)
2.57,2583,-0.029138614
2.58,2579,0.009712871
2.59,2582,-0.019425743
2.6,2582,-0.019425743
2.61,2582,-0.019425743
2.62,2577,0.029138614
2.63,2582,-0.019425743
2.64,2585,-0.048564356
2.65,2578,0.019425743
2.66,2558,0.213683168
2.67,2507,0.709039604
2.68,2520,0.582772277
2.69,2543,0.359376238
2.7,2588,-0.07770297
2.71,2614,-0.330237624
2.72,2670,-0.874158416
2.73,2682,-0.990712871
2.74,2692,-1.087841584
2.75,2665,-0.825594059
2.76,2658,-0.75760396
2.77,2633,-0.514782178
2.78,2630,-0.485643564
2.79,2617,-0.359376238
2.8,2603,-0.22339604
2.81,2557,0.22339604
2.82,2512,0.660475248
2.83,2463,1.136405941
2.84,2448,1.28209901
2.85,2412,1.631762376
2.86,2401,1.73860396
2.87,2384,1.903722772
2.88,2424,1.515207921
2.89,2465,1.116980198
2.9,2515,0.631336634
2.91,2557,0.22339604
2.92,2591,-0.106841584
2.93,2625,-0.437079208
2.94,2686,-1.029564356
2.95,2763,-1.777455446
2.96,2807,-2.204821782
2.97,2896,-3.069267327
2.98,2871,-2.826445545
2.99,2823,-2.360227723
3,2763,-1.777455446
3.01,2741,-1.563772277
3.02,2691,-1.078128713
3.03,2662,-0.796455446
3.04,2603,-0.22339604
3.05,2546,0.330237624
3.06,2466,1.107267327
3.07,2353,2.204821782
3.08,2282,2.894435644
3.09,2220,3.496633663
3.1,2211,3.584049505
3.11,2230,3.39950495
3.12,2289,2.826445545
3.13,2325,2.476782178
3.14,2422,1.534633663
3.15,2487,0.90329703
3.16,2568,0.116554455
3.17,2620,-0.388514851
3.18,2711,-1.272386139
3.19,2788,-2.020277228
3.2,2885,-2.962425743
3.21,3000,-4.079405941
3.22,3082,-4.875861386
3.23,2972,-3.807445545
3.24,2889,-3.001277228
3.25,2843,-2.554485149
3.26,2761,-1.758029703
3.27,2655,-0.728465347
3.28,2604,-0.233108911
3.29,2578,0.019425743
3.3,2483,0.942148515
3.31,2405,1.699752475
3.32,2328,2.447643564
3.33,2197,3.720029703
3.34,2155,4.127970297
3.35,2152,4.157108911
3.36,2230,3.39950495
3.37,2284,2.875009901
3.38,2360,2.136831683
3.39,2446,1.301524752
3.4,2510,0.67990099
3.41,2575,0.048564356
3.42,2625,-0.437079208
3.43,2714,-1.301524752
3.44,2786,-2.000851485
3.45,2888,-2.991564356
3.46,2983,-3.914287129
3.47,3088,-4.934138614
3.48,2965,-3.739455446
3.49,2902,-3.127544554
3.5,2840,-2.525346535
3.51,2782,-1.962
3.52,2674,-0.913009901
3.53,2621,-0.398227723
3.54,2580,0
3.55,2481,0.961574257
3.56,2419,1.563772277
3.57,2314,2.583623762
3.58,2227,3.428643564
3.59,2134,4.331940594
3.6,2170,3.982277228
3.61,2224,3.457782178
3.62,2298,2.739029703
3.63,2347,2.26309901
3.64,2457,1.194683168
3.65,2505,0.728465347
3.66,2581,-0.009712871
3.67,2625,-0.437079208
3.68,2714,-1.301524752
3.69,2785,-1.991138614
3.7,2881,-2.923574257
3.71,2981,-3.894861386
3.72,3058,-4.642752475
3.73,2976,-3.84629703
3.74,2882,-2.933287129
3.75,2845,-2.573910891
3.76,2791,-2.049415842
3.77,2674,-0.913009901
3.78,2627,-0.45650495
3.79,2574,0.058277228
3.8,2493,0.845019802
3.81,2411,1.641475248
3.82,2338,2.350514851
3.83,2197,3.720029703
3.84,2158,4.098831683
3.85,2151,4.166821782
3.86,2238,3.32180198
3.87,2279,2.923574257
3.88,2344,2.292237624
