Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
3.007478234352025,-0.13503806365596102,0.17326499713766574,9.468612360574914
-0.7401292292476523,0.11947786531570707,0.22742605525579762,9.683614815888983
0.44686894206839856,-0.04459933327211907,0.19604133189169368,9.70911430578977
-0.24567180509580788,0.1641892002299015,0.2171970006367237,9.784489652294939
0.26542924266473766,-0.005728667673774891,0.2144172355443408,9.542986779937117
-0.11408630901310676,0.11017284508442787,0.2273062954748666,9.742877943976954
0.2145217014639332,0.007772931398049216,0.22150387258494295,9.783841994941668
-0.045022982186701616,0.08841847850432256,0.20344723951575494,9.716502324764576
0.19856711730090743,0.06287107661879282,0.21059616141061405,9.650476132033338
0.002470740040891895,0.09293776986448511,0.2156859809198011,9.734692617268552
0.19687087725428562,0.12481699808199523,0.21996738179358377,9.823085492065413
0.04003655122845019,0.09731386627756601,0.2438989645862749,9.723199662887898
0.20236872918163704,0.08735598356410847,0.237807548690861,9.659111544429482
0.07222440296046587,0.06633260792606142,0.24557037865146966,9.741181566764148
0.21199491248743418,0.1351047769544699,0.21692729146195555,9.820020343891237
0.10117399960059435,0.028326410319416736,0.24361975551625797,9.715686770589132
0.22420826109437936,0.02149789042306499,0.22905902155006078,9.593071964491035
0.12802374500874109,0.059652091186904,0.20118948709880358,9.73962734254526
0.23815032735497593,0.01805295323498605,0.19826452488021995,9.75277052250467
0.1534366826536913,0.08583439078533855,0.24098463274454388,9.71258097077366
0.2533015840645519,0.009243840378546817,0.20037744175166824,9.582883927700022
0.1778172029826402,0.08205803808353986,0.19520110496630852,9.786539425215825
0.269334446327924,-0.007139524099086668,0.22484908143312113,9.710037612707751
0.20143878300276397,0.0656501245212921,0.20406176239377924,9.672858950431173
0.28602906237893017,-0.010124171384502384,0.21972168270400508,9.610909079179317
0.22448175062507147,0.09070586863830224,0.2068457524923949,9.776214933214755
0.3032327024943569,0.0023473833865993205,0.21940223173216772,9.688978113777742
0.24707453806189256,0.06852575647212245,0.23848118294087006,9.623139601610417
0.320836405900897,0.0825711366440656,0.24417021866853733,9.725479351782504
0.26931031849403975,0.08486115729716864,0.19392010914398058,9.785134598205936
