Time (s),Raw Acceleration,Acceleration x (m/s^2)
4.74,2588,-0.07770297
4.75,2576,0.038851485
4.76,2592,-0.116554455
4.77,2579,0.009712871
4.78,2583,-0.029138614
4.79,2564,0.155405941
4.8,2546,0.330237624
4.81,2526,0.52449505
4.82,2562,0.174831683
4.83,2610,-0.291386139
4.84,2674,-0.913009901
4.85,2698,-1.146118812
4.86,2691,-1.078128713
4.87,2651,-0.689613861
4.88,2598,-0.174831683
4.89,2556,0.233108911
4.9,2506,0.718752475
4.91,2436,1.398653465
4.92,2393,1.816306931
4.93,2391,1.835732673
4.94,2417,1.58319802
4.95,2508,0.699326733
4.96,2596,-0.155405941
4.97,2679,-0.961574257
4.98,2779,-1.932861386
4.99,2873,-2.845871287
5,2898,-3.088693069
5.01,2792,-2.059128713
5.02,2717,-1.330663366
5.03,2653,-0.709039604
5.04,2563,0.165118812
5.05,2430,1.456930693
5.06,2275,2.962425743
5.07,2173,3.953138614
5.08,2202,3.671465347
5.09,2307,2.651613861
5.1,2435,1.408366337
5.11,2546,0.330237624
5.12,2665,-0.825594059
5.13,2836,-2.48649505
5.14,3027,-4.341653465
5.15,3058,-4.642752475
5.16,2924,-3.341227723
5.17,2761,-1.758029703
5.18,2715,-1.311237624
5.19,2598,-0.174831683
5.2,2454,1.223821782
5.21,2243,3.273237624
5.22,2150,4.176534653
5.23,2136,4.312514851
5.24,2266,3.049841584
5.25,2376,1.981425743
5.26,2478,0.990712871
5.27,2596,-0.155405941
5.28,2750,-1.651188119
5.29,2911,-3.214960396
5.3,3074,-4.798158416
5.31,3027,-4.341653465
5.32,2845,-2.573910891
5.33,2733,-1.486069307
5.34,2676,-0.932435644
5.35,2565,0.145693069
5.36,2371,2.029990099
5.37,2209,3.603475248
5.38,2136,4.312514851
5.39,2180,3.885148515
5.4,2299,2.729316832
5.41,2407,1.680326733
5.42,2515,0.631336634
5.43,2651,-0.689613861
5.44,2809,-2.224247525
5.45,2971,-3.797732673
5.46,3080,-4.856435644
5.47,2970,-3.788019802
5.48,2790,-2.03970297
5.49,2719,-1.350089109
5.5,2625,-0.437079208
5.51,2498,0.796455446
5.52,2302,2.700178218
5.53,2170,3.982277228
5.54,2129,4.38050495
5.55,2222,3.477207921
5.56,2350,2.233960396
5.57,2446,1.301524752
5.58,2569,0.106841584
5.59,2700,-1.165544554
5.6,2884,-2.952712871
5.61,3024,-4.312514851
5.62,3066,-4.720455446
5.63,2884,-2.952712871
5.64,2761,-1.758029703
5.65,2686,-1.029564356
5.66,2595,-0.145693069
5.67,2426,1.495782178
5.68,2249,3.214960396
5.69,2143,4.244524752
5.7,2163,4.050267327
5.71,2283,2.884722772
5.72,2386,1.88429703
5.73,2481,0.961574257
5.74,2620,-0.388514851
5.75,2751,-1.66090099
5.76,2942,-3.516059406
5.77,3034,-4.409643564
5.78,3025,-4.322227723
5.79,2818,-2.311663366
5.8,2742,-1.573485149
5.81,2652,-0.699326733
5.82,2539,0.398227723
5.83,2349,2.243673267
5.84,2207,3.62290099
5.85,2129,4.38050495
5.86,2209,3.603475248
5.87,2315,2.573910891
5.88,2421,1.544346535
5.89,2529,0.495356436
5.9,2658,-0.75760396
5.91,2812,-2.253386139
5.92,2994,-4.021128713
5.93,3062,-4.68160396
5.94,2950,-3.593762376
5.95,2773,-1.874584158
5.96,2708,-1.243247525
5.97,2622,-0.407940594
5.98,2472,1.048990099
5.99,2293,2.787594059
6,2169,3.991990099
6.01,2145,4.22509901
6.02,2253,3.176108911
6.03,2362,2.117405941
6.04,2455,1.214108911
6.05,2579,0.009712871
6.06,2714,-1.301524752
6.07,2893,-3.040128713
6.08,3041,-4.477633663
6.09,3038,-4.44849505
6.1,2876,-2.875009901
6.11,2744,-1.592910891
6.12,2699,-1.155831683
6.13,2575,0.048564356
6.14,2411,1.641475248
6.15,2230,3.39950495
6.16,2152,4.157108911
6.17,2161,4.069693069
6.18,2306,2.661326733
6.19,2389,1.855158416
6.2,2502,0.75760396
6.21,2618,-0.369089109
6.22,2786,-2.000851485
6.23,2937,-3.46749505
6.24,3076,-4.817584158
6.25,2972,-3.807445545
6.26,2819,-2.321376238
6.27,2719,-1.350089109
6.28,2656,-0.738178218
6.29,2519,0.592485149
6.3,2340,2.331089109
6.31,2195,3.739455446
6.32,2137,4.30280198
6.33,2213,3.564623762
6.34,2337,2.360227723
6.35,2429,1.466643564
6.36,2552,0.271960396
6.37,2678,-0.951861386
6.38,2844,-2.56419802
6.39,2988,-3.962851485
6.4,3071,-4.769019802
6.41,2911,-3.214960396
6.42,2770,-1.845445545
6.43,2705,-1.214108911
6.44,2596,-0.155405941
6.45,2467,1.097554455
6.46,2285,2.86529703
6.47,2161,4.069693069
6.48,2143,4.244524752
6.49,2271,3.001277228
6.5,2374,2.000851485
6.51,2471,1.05870297
6.52,2599,-0.184544554
6.53,2728,-1.43750495
6.54,2913,-3.234386139
6.55,3039,-4.458207921
6.56,3028,-4.351366337
6.57,2846,-2.583623762
6.58,2749,-1.641475248
6.59,2675,-0.922722772
6.6,2560,0.194257426
6.61,2384,1.903722772
6.62,2226,3.438356436
6.63,2134,4.331940594
6.64,2186,3.826871287
6.65,2306,2.661326733
6.66,2408,1.670613861
6.67,2512,0.660475248
6.68,2648,-0.660475248
6.69,2782,-1.962
6.7,2976,-3.84629703
6.71,3053,-4.594188119
6.72,2983,-3.914287129
6.73,2776,-1.903722772
6.74,2740,-1.554059406
6.75,2631,-0.495356436
6.76,2504,0.738178218
6.77,2310,2.622475248
6.78,2186,3.826871287
6.79,2125,4.419356436
6.8,2234,3.360653465
6.81,2344,2.292237624
6.82,2448,1.28209901
6.83,2562,0.174831683
6.84,2698,-1.146118812
6.85,2854,-2.661326733
6.86,3029,-4.361079208
6.87,3060,-4.662178218
6.88,2902,-3.127544554
6.89,2756,-1.709465347
6.9,2697,-1.136405941
6.91,2587,-0.067990099
6.92,2426,1.495782178
6.93,2253,3.176108911
6.94,2148,4.195960396
6.95,2155,4.127970297
6.96,2278,2.933287129
6.97,2390,1.845445545
6.98,2480,0.971287129
6.99,2621,-0.398227723
7,2756,-1.709465347
7.01,2932,-3.418930693
7.02,3061,-4.671891089
7.03,3011,-4.186247525
7.04,2833,-2.457356436
7.05,2733,-1.486069307
7.06,2662,-0.796455446
7.07,2539,0.398227723
7.08,2354,2.195108911
7.09,2207,3.62290099
7.1,2131,4.361079208
7.11,2189,3.797732673
7.12,2328,2.447643564
7.13,2431,1.447217822
7.14,2565,0.145693069
7.15,2687,-1.039277228
7.16,2857,-2.690465347
7.17,2971,-3.797732673
7.18,3028,-4.351366337
7.19,2826,-2.389366337
