Time (s),Raw Acceleration ,Acceleration x (m/s^2)
4.71,2447,1.291811881
4.72,2531,0.475930693
4.73,2626,-0.446792079
4.74,2662,-0.796455446
4.75,2714,-1.301524752
4.76,2756,-1.709465347
4.77,2751,-1.66090099
4.78,2684,-1.010138614
4.79,2618,-0.369089109
4.8,2567,0.126267327
4.81,2553,0.262247525
4.82,2515,0.631336634
4.83,2493,0.845019802
4.84,2473,1.039277228
4.85,2483,0.942148515
4.86,2494,0.835306931
4.87,2529,0.495356436
4.88,2572,0.07770297
4.89,2636,-0.543920792
4.9,2645,-0.631336634
4.91,2678,-0.951861386
4.92,2667,-0.845019802
4.93,2628,-0.466217822
4.94,2599,-0.184544554
4.95,2589,-0.087415842
4.96,2564,0.155405941
4.97,2556,0.233108911
4.98,2547,0.320524752
4.99,2542,0.369089109
5,2565,0.145693069
5.01,2578,0.019425743
5.02,2584,-0.038851485
5.03,2582,-0.019425743
5.04,2590,-0.097128713
5.05,2583,-0.029138614
5.06,2591,-0.106841584
