Time (s),Raw Acceleration,Acceleration x (m/s^2)
3.11,2583,-0.029138614
3.12,2576,0.038851485
3.13,2584,-0.038851485
3.14,2577,0.029138614
3.15,2575,0.048564356
3.16,2587,-0.067990099
3.17,2579,0.009712871
3.18,2582,-0.019425743
3.19,2584,-0.038851485
3.2,2586,-0.058277228
3.21,2576,0.038851485
3.22,2585,-0.048564356
3.23,2576,0.038851485
3.24,2593,-0.126267327
3.25,2565,0.145693069
3.26,2553,0.262247525
3.27,2534,0.446792079
3.28,2546,0.330237624
3.29,2548,0.310811881
3.3,2578,0.019425743
3.31,2571,0.087415842
3.32,2570,0.097128713
3.33,2564,0.155405941
3.34,2583,-0.029138614
3.35,2594,-0.135980198
3.36,2615,-0.339950495
3.37,2616,-0.349663366
3.38,2620,-0.388514851
3.39,2633,-0.514782178
3.4,2618,-0.369089109
3.41,2614,-0.330237624
3.42,2608,-0.271960396
3.43,2624,-0.427366337
3.44,2629,-0.475930693
3.45,2638,-0.563346535
3.46,2620,-0.388514851
3.47,2614,-0.330237624
3.48,2604,-0.233108911
3.49,2624,-0.427366337
3.5,2617,-0.359376238
3.51,2625,-0.437079208
3.52,2591,-0.106841584
3.53,2597,-0.165118812
3.54,2581,-0.009712871
3.55,2587,-0.067990099
3.56,2568,0.116554455
3.57,2569,0.106841584
3.58,2548,0.310811881
3.59,2535,0.437079208
3.6,2519,0.592485149
3.61,2525,0.534207921
3.62,2519,0.592485149
3.63,2518,0.60219802
3.64,2492,0.854732673
3.65,2487,0.90329703
3.66,2474,1.029564356
3.67,2466,1.107267327
3.68,2487,0.90329703
3.69,2516,0.621623762
3.7,2525,0.534207921
3.71,2516,0.621623762
3.72,2524,0.543920792
3.73,2516,0.621623762
3.74,2542,0.369089109
3.75,2547,0.320524752
3.76,2564,0.155405941
3.77,2558,0.213683168
3.78,2577,0.029138614
3.79,2590,-0.097128713
3.8,2619,-0.37880198
3.81,2623,-0.417653465
3.82,2649,-0.670188119
3.83,2653,-0.709039604
3.84,2678,-0.951861386
3.85,2686,-1.029564356
3.86,2698,-1.146118812
3.87,2715,-1.311237624
3.88,2731,-1.466643564
3.89,2737,-1.524920792
3.9,2720,-1.35980198
3.91,2689,-1.05870297
3.92,2671,-0.883871287
3.93,2686,-1.029564356
3.94,2697,-1.136405941
3.95,2708,-1.243247525
3.96,2690,-1.068415842
3.97,2672,-0.893584158
3.98,2653,-0.709039604
3.99,2635,-0.534207921
4,2619,-0.37880198
4.01,2624,-0.427366337
4.02,2584,-0.038851485
4.03,2576,0.038851485
4.04,2551,0.281673267
4.05,2543,0.359376238
4.06,2517,0.611910891
4.07,2500,0.777029703
4.08,2472,1.048990099
4.09,2451,1.252960396
4.1,2419,1.563772277
4.11,2415,1.602623762
4.12,2395,1.796881188
4.13,2409,1.66090099
4.14,2382,1.923148515
4.15,2372,2.020277228
4.16,2388,1.864871287
4.17,2421,1.544346535
4.18,2436,1.398653465
4.19,2440,1.35980198
4.2,2450,1.262673267
4.21,2465,1.116980198
4.22,2504,0.738178218
4.23,2513,0.650762376
4.24,2533,0.45650495
4.25,2539,0.398227723
4.26,2568,0.116554455
4.27,2575,0.048564356
4.28,2611,-0.30109901
4.29,2634,-0.52449505
4.3,2662,-0.796455446
4.31,2685,-1.019851485
4.32,2712,-1.28209901
4.33,2711,-1.272386139
4.34,2756,-1.709465347
4.35,2792,-2.059128713
4.36,2818,-2.311663366
4.37,2827,-2.399079208
4.38,2847,-2.593336634
4.39,2805,-2.18539604
4.4,2741,-1.563772277
4.41,2742,-1.573485149
4.42,2742,-1.573485149
4.43,2733,-1.486069307
4.44,2735,-1.50549505
4.45,2703,-1.194683168
4.46,2663,-0.806168317
4.47,2660,-0.777029703
4.48,2646,-0.641049505
4.49,2631,-0.495356436
4.5,2608,-0.271960396
4.51,2598,-0.174831683
4.52,2570,0.097128713
4.53,2544,0.349663366
4.54,2525,0.534207921
4.55,2509,0.689613861
4.56,2468,1.087841584
4.57,2462,1.146118812
4.58,2430,1.456930693
4.59,2404,1.709465347
4.6,2367,2.068841584
4.61,2351,2.224247525
4.62,2350,2.233960396
4.63,2363,2.107693069
4.64,2364,2.097980198
4.65,2376,1.981425743
4.66,2392,1.826019802
4.67,2418,1.573485149
4.68,2435,1.408366337
4.69,2440,1.35980198
4.7,2468,1.087841584
4.71,2504,0.738178218
4.72,2512,0.660475248
4.73,2516,0.621623762
4.74,2533,0.45650495
4.75,2533,0.45650495
4.76,2578,0.019425743
4.77,2586,-0.058277228
4.78,2613,-0.320524752
4.79,2632,-0.505069307
4.8,2657,-0.747891089
4.81,2683,-1.000425743
4.82,2708,-1.243247525
4.83,2711,-1.272386139
4.84,2748,-1.631762376
4.85,2787,-2.010564356
4.86,2822,-2.350514851
4.87,2823,-2.360227723
4.88,2849,-2.612762376
4.89,2811,-2.243673267
4.9,2748,-1.631762376
4.91,2733,-1.486069307
4.92,2735,-1.50549505
4.93,2733,-1.486069307
4.94,2748,-1.631762376
4.95,2731,-1.466643564
4.96,2673,-0.90329703
4.97,2663,-0.806168317
4.98,2650,-0.67990099
4.99,2633,-0.514782178
5,2606,-0.252534653
5.01,2598,-0.174831683
5.02,2572,0.07770297
5.03,2539,0.398227723
5.04,2525,0.534207921
5.05,2508,0.699326733
5.06,2461,1.155831683
