Time (s),Raw Acceleration,Acceleration x (m/s^2)
5.43,2638,-0.563346535
5.44,2650,-0.67990099
5.45,2692,-1.087841584
5.46,2669,-0.864445545
5.47,2647,-0.650762376
5.48,2611,-0.30109901
5.49,2592,-0.116554455
5.5,2561,0.184544554
5.51,2556,0.233108911
5.52,2532,0.466217822
5.53,2523,0.553633663
5.54,2525,0.534207921
5.55,2540,0.388514851
5.56,2544,0.349663366
5.57,2575,0.048564356
5.58,2609,-0.281673267
5.59,2621,-0.398227723
5.6,2623,-0.417653465
5.61,2615,-0.339950495
5.62,2603,-0.22339604
5.63,2597,-0.165118812
5.64,2601,-0.203970297
5.65,2576,0.038851485
5.66,2566,0.135980198
5.67,2558,0.213683168
5.68,2556,0.233108911
5.69,2570,0.097128713
5.7,2588,-0.07770297
5.71,2580,0
5.72,2579,0.009712871
5.73,2581,-0.009712871
5.74,2588,-0.07770297
5.75,2583,-0.029138614
5.76,2592,-0.116554455
5.77,2577,0.029138614
