Time (s),Raw Acceleration,Acceleration x (m/s^2)
22.38,2584,-0.038851485
22.39,2573,0.067990099
22.4,2587,-0.067990099
22.41,2576,0.038851485
22.42,2592,-0.116554455
22.43,2577,0.029138614
22.44,2588,-0.07770297
22.45,2574,0.058277228
22.46,2589,-0.087415842
22.47,2577,0.029138614
22.48,2585,-0.048564356
22.49,2579,0.009712871
22.5,2585,-0.048564356
22.51,2578,0.019425743
22.52,2582,-0.019425743
22.53,2577,0.029138614
22.54,2584,-0.038851485
22.55,2580,0
22.56,2580,0
22.57,2581,-0.009712871
22.58,2583,-0.029138614
22.59,2583,-0.029138614
22.6,2583,-0.029138614
22.61,2587,-0.067990099
22.62,2579,0.009712871
22.63,2584,-0.038851485
22.64,2573,0.067990099
22.65,2585,-0.048564356
22.66,2577,0.029138614
22.67,2585,-0.048564356
22.68,2576,0.038851485
22.69,2583,-0.029138614
22.7,2574,0.058277228
22.71,2589,-0.087415842
22.72,2574,0.058277228
22.73,2586,-0.058277228
22.74,2577,0.029138614
22.75,2586,-0.058277228
22.76,2576,0.038851485
22.77,2585,-0.048564356
22.78,2579,0.009712871
22.79,2586,-0.058277228
22.8,2577,0.029138614
22.81,2583,-0.029138614
22.82,2577,0.029138614
22.83,2585,-0.048564356
22.84,2583,-0.029138614
22.85,2583,-0.029138614
22.86,2584,-0.038851485
22.87,2578,0.019425743
22.88,2590,-0.097128713
22.89,2583,-0.029138614
22.9,2582,-0.019425743
22.91,2578,0.019425743
22.92,2588,-0.07770297
22.93,2577,0.029138614
22.94,2590,-0.097128713
22.95,2577,0.029138614
22.96,2590,-0.097128713
22.97,2575,0.048564356
22.98,2584,-0.038851485
22.99,2572,0.07770297
23,2583,-0.029138614
23.01,2581,-0.009712871
23.02,2586,-0.058277228
23.03,2576,0.038851485
23.04,2586,-0.058277228
23.05,2580,0
23.06,2586,-0.058277228
23.07,2580,0
23.08,2583,-0.029138614
23.09,2584,-0.038851485
23.1,2578,0.019425743
23.11,2583,-0.029138614
23.12,2580,0
23.13,2584,-0.038851485
23.14,2581,-0.009712871
23.15,2588,-0.07770297
23.16,2580,0
23.17,2588,-0.07770297
23.18,2577,0.029138614
23.19,2585,-0.048564356
23.2,2578,0.019425743
23.21,2587,-0.067990099
23.22,2571,0.087415842
23.23,2583,-0.029138614
23.24,2569,0.106841584
23.25,2592,-0.116554455
23.26,2576,0.038851485
23.27,2586,-0.058277228
23.28,2577,0.029138614
23.29,2588,-0.07770297
23.3,2578,0.019425743
23.31,2585,-0.048564356
23.32,2574,0.058277228
23.33,2584,-0.038851485
23.34,2577,0.029138614
23.35,2583,-0.029138614
23.36,2580,0
23.37,2579,0.009712871
23.38,2579,0.009712871
23.39,2588,-0.07770297
23.4,2578,0.019425743
23.41,2581,-0.009712871
23.42,2580,0
23.43,2576,0.038851485
23.44,2585,-0.048564356
23.45,2577,0.029138614
23.46,2586,-0.058277228
23.47,2578,0.019425743
23.48,2584,-0.038851485
23.49,2577,0.029138614
23.5,2586,-0.058277228
23.51,2576,0.038851485
23.52,2591,-0.106841584
23.53,2579,0.009712871
23.54,2590,-0.097128713
23.55,2582,-0.019425743
23.56,2582,-0.019425743
23.57,2578,0.019425743
23.58,2586,-0.058277228
23.59,2581,-0.009712871
23.6,2584,-0.038851485
23.61,2581,-0.009712871
23.62,2579,0.009712871
23.63,2584,-0.038851485
23.64,2582,-0.019425743
23.65,2582,-0.019425743
23.66,2580,0
23.67,2588,-0.07770297
23.68,2577,0.029138614
23.69,2586,-0.058277228
23.7,2576,0.038851485
23.71,2588,-0.07770297
23.72,2580,0
23.73,2589,-0.087415842
23.74,2577,0.029138614
23.75,2593,-0.126267327
23.76,2575,0.048564356
23.77,2589,-0.087415842
23.78,2575,0.048564356
23.79,2588,-0.07770297
23.8,2578,0.019425743
23.81,2586,-0.058277228
23.82,2577,0.029138614
23.83,2590,-0.097128713
23.84,2577,0.029138614
23.85,2583,-0.029138614
23.86,2576,0.038851485
23.87,2581,-0.009712871
23.88,2582,-0.019425743
23.89,2583,-0.029138614
23.9,2588,-0.07770297
23.91,2580,0
23.92,2588,-0.07770297
23.93,2574,0.058277228
23.94,2592,-0.116554455
23.95,2575,0.048564356
23.96,2589,-0.087415842
23.97,2579,0.009712871
23.98,2588,-0.07770297
23.99,2570,0.097128713
24,2584,-0.038851485
24.01,2577,0.029138614
24.02,2584,-0.038851485
24.03,2576,0.038851485
24.04,2588,-0.07770297
24.05,2572,0.07770297
24.06,2584,-0.038851485
24.07,2576,0.038851485
24.08,2585,-0.048564356
24.09,2580,0
24.1,2583,-0.029138614
24.11,2582,-0.019425743
24.12,2579,0.009712871
24.13,2579,0.009712871
24.14,2576,0.038851485
24.15,2583,-0.029138614
24.16,2584,-0.038851485
24.17,2588,-0.07770297
24.18,2576,0.038851485
24.19,2583,-0.029138614
24.2,2575,0.048564356
24.21,2590,-0.097128713
24.22,2581,-0.009712871
24.23,2587,-0.067990099
24.24,2575,0.048564356
24.25,2587,-0.067990099
24.26,2578,0.019425743
24.27,2587,-0.067990099
24.28,2578,0.019425743
24.29,2583,-0.029138614
24.3,2579,0.009712871
24.31,2592,-0.116554455
24.32,2574,0.058277228
24.33,2589,-0.087415842
24.34,2582,-0.019425743
24.35,2589,-0.087415842
24.36,2576,0.038851485
24.37,2582,-0.019425743
24.38,2583,-0.029138614
24.39,2583,-0.029138614
24.4,2579,0.009712871
24.41,2582,-0.019425743
24.42,2582,-0.019425743
24.43,2580,0
24.44,2584,-0.038851485
24.45,2578,0.019425743
24.46,2583,-0.029138614
24.47,2577,0.029138614
24.48,2582,-0.019425743
24.49,2573,0.067990099
24.5,2590,-0.097128713
24.51,2580,0
24.52,2587,-0.067990099
24.53,2579,0.009712871
24.54,2589,-0.087415842
24.55,2569,0.106841584
24.56,2587,-0.067990099
24.57,2575,0.048564356
24.58,2592,-0.116554455
24.59,2579,0.009712871
24.6,2587,-0.067990099
24.61,2579,0.009712871
24.62,2585,-0.048564356
24.63,2579,0.009712871
24.64,2583,-0.029138614
24.65,2581,-0.009712871
24.66,2584,-0.038851485
24.67,2584,-0.038851485
24.68,2581,-0.009712871
24.69,2583,-0.029138614
24.7,2581,-0.009712871
24.71,2580,0
24.72,2579,0.009712871
24.73,2588,-0.07770297
24.74,2577,0.029138614
24.75,2587,-0.067990099
24.76,2579,0.009712871
24.77,2589,-0.087415842
24.78,2573,0.067990099
24.79,2591,-0.106841584
24.8,2578,0.019425743
24.81,2585,-0.048564356
24.82,2573,0.067990099
24.83,2586,-0.058277228
24.84,2575,0.048564356
24.85,2587,-0.067990099
24.86,2578,0.019425743
24.87,2585,-0.048564356
24.88,2576,0.038851485
24.89,2591,-0.106841584
24.9,2579,0.009712871
24.91,2584,-0.038851485
24.92,2580,0
24.93,2581,-0.009712871
24.94,2579,0.009712871
24.95,2583,-0.029138614
24.96,2583,-0.029138614
24.97,2579,0.009712871
24.98,2584,-0.038851485
24.99,2579,0.009712871
25,2583,-0.029138614
25.01,2573,0.067990099
25.02,2589,-0.087415842
25.03,2574,0.058277228
25.04,2587,-0.067990099
25.05,2578,0.019425743
25.06,2589,-0.087415842
25.07,2575,0.048564356
25.08,2590,-0.097128713
25.09,2574,0.058277228
25.1,2590,-0.097128713
25.11,2576,0.038851485
25.12,2589,-0.087415842
25.13,2573,0.067990099
25.14,2587,-0.067990099
25.15,2584,-0.038851485
25.16,2585,-0.048564356
25.17,2578,0.019425743
25.18,2588,-0.07770297
25.19,2581,-0.009712871
25.2,2583,-0.029138614
25.21,2584,-0.038851485
25.22,2580,0
25.23,2589,-0.087415842
25.24,2581,-0.009712871
25.25,2587,-0.067990099
25.26,2581,-0.009712871
25.27,2585,-0.048564356
25.28,2578,0.019425743
25.29,2589,-0.087415842
25.3,2578,0.019425743
25.31,2589,-0.087415842
25.32,2572,0.07770297
25.33,2591,-0.106841584
25.34,2583,-0.029138614
25.35,2589,-0.087415842
25.36,2577,0.029138614
25.37,2590,-0.097128713
25.38,2577,0.029138614
25.39,2585,-0.048564356
25.4,2583,-0.029138614
25.41,2588,-0.07770297
25.42,2578,0.019425743
25.43,2584,-0.038851485
25.44,2579,0.009712871
25.45,2577,0.029138614
25.46,2581,-0.009712871
25.47,2581,-0.009712871
25.48,2582,-0.019425743
25.49,2582,-0.019425743
25.5,2585,-0.048564356
25.51,2581,-0.009712871
25.52,2584,-0.038851485
25.53,2582,-0.019425743
25.54,2586,-0.058277228
25.55,2578,0.019425743
25.56,2587,-0.067990099
25.57,2574,0.058277228
25.58,2582,-0.019425743
25.59,2582,-0.019425743
25.6,2582,-0.019425743
25.61,2576,0.038851485
25.62,2588,-0.07770297
25.63,2580,0
25.64,2587,-0.067990099
25.65,2577,0.029138614
25.66,2587,-0.067990099
25.67,2574,0.058277228
25.68,2584,-0.038851485
25.69,2577,0.029138614
25.7,2583,-0.029138614
25.71,2575,0.048564356
25.72,2585,-0.048564356
25.73,2579,0.009712871
25.74,2581,-0.009712871
25.75,2583,-0.029138614
25.76,2583,-0.029138614
25.77,2582,-0.019425743
25.78,2573,0.067990099
25.79,2586,-0.058277228
25.8,2575,0.048564356
25.81,2586,-0.058277228
25.82,2577,0.029138614
25.83,2594,-0.135980198
25.84,2572,0.07770297
25.85,2585,-0.048564356
25.86,2571,0.087415842
25.87,2586,-0.058277228
25.88,2580,0
25.89,2592,-0.116554455
25.9,2578,0.019425743
25.91,2581,-0.009712871
25.92,2579,0.009712871
25.93,2587,-0.067990099
25.94,2581,-0.009712871
25.95,2588,-0.07770297
25.96,2582,-0.019425743
25.97,2585,-0.048564356
25.98,2583,-0.029138614
25.99,2584,-0.038851485
26,2580,0
26.01,2581,-0.009712871
26.02,2586,-0.058277228
26.03,2582,-0.019425743
26.04,2583,-0.029138614
26.05,2578,0.019425743
26.06,2587,-0.067990099
26.07,2575,0.048564356
26.08,2591,-0.106841584
