id,experiment,input,label,max,min
0,0.1-2,0.013638717,-0.07770297,1.311237624,-1.388940594
0,0.1-2,0.044689376,0.029138614,1.311237624,-1.388940594
0,0.1-2,0.02089694,-0.087415842,1.311237624,-1.388940594
0,0.1-2,0.011301428,0.029138614,1.311237624,-1.388940594
0,0.1-2,0.009242787,-0.029138614,1.311237624,-1.388940594
0,0.1-2,-0.0203731,0.038851485,1.311237624,-1.388940594
0,0.1-2,-0.009795517,-0.067990099,1.311237624,-1.388940594
0,0.1-2,0.013344856,0.029138614,1.311237624,-1.388940594
0,0.1-2,0.014493162,-0.019425743,1.311237624,-1.388940594
0,0.1-2,0.033170708,-0.019425743,1.311237624,-1.388940594
0,0.1-2,0.008980068,0.019425743,1.311237624,-1.388940594
0,0.1-2,0.003522343,0.009712871,1.311237624,-1.388940594
0,0.1-2,0.016427044,-0.009712871,1.311237624,-1.388940594
0,0.1-2,0.016771979,-0.038851485,1.311237624,-1.388940594
0,0.1-2,-0.003212145,-0.009712871,1.311237624,-1.388940594
0,0.1-2,0.019848784,-0.048564356,1.311237624,-1.388940594
0,0.1-2,0.028331245,-0.038851485,1.311237624,-1.388940594
0,0.1-2,0.013636585,-0.048564356,1.311237624,-1.388940594
0,0.1-2,0.013419113,-0.029138614,1.311237624,-1.388940594
0,0.1-2,0.034239745,-0.038851485,1.311237624,-1.388940594
0,0.1-2,0.014882247,0.058277228,1.311237624,-1.388940594
0,0.1-2,0.006505287,-0.087415842,1.311237624,-1.388940594
0,0.1-2,0.023897041,0.038851485,1.311237624,-1.388940594
0,0.1-2,0.008607544,-0.067990099,1.311237624,-1.388940594
0,0.1-2,0.003187217,0.087415842,1.311237624,-1.388940594
0,0.1-2,0.02586294,-0.116554455,1.311237624,-1.388940594
0,0.1-2,0.040808008,0.07770297,1.311237624,-1.388940594
0,0.1-2,0.025366234,-0.087415842,1.311237624,-1.388940594
0,0.1-2,0.001300997,0.058277228,1.311237624,-1.388940594
0,0.1-2,0.010361647,-0.048564356,1.311237624,-1.388940594
0,0.1-2,0.037546564,0,1.311237624,-1.388940594
0,0.1-2,0.014703126,-0.067990099,1.311237624,-1.388940594
0,0.1-2,0.024553055,0.009712871,1.311237624,-1.388940594
0,0.1-2,0.138371232,-0.058277228,1.311237624,-1.388940594
0,0.1-2,0.25934638,0.009712871,1.311237624,-1.388940594
0,0.1-2,0.276745384,0.097128713,1.311237624,-1.388940594
0,0.1-2,0.241986959,0.194257426,1.311237624,-1.388940594
0,0.1-2,0.115268023,0.233108911,1.311237624,-1.388940594
0,0.1-2,-0.004925048,0.233108911,1.311237624,-1.388940594
0,0.1-2,-0.040911014,0.116554455,1.311237624,-1.388940594
0,0.1-2,-0.006868198,-0.038851485,1.311237624,-1.388940594
0,0.1-2,0.023656197,-0.097128713,1.311237624,-1.388940594
0,0.1-2,-0.036462682,-0.087415842,1.311237624,-1.388940594
0,0.1-2,-0.089877098,0,1.311237624,-1.388940594
0,0.1-2,-0.182524351,-0.058277228,1.311237624,-1.388940594
0,0.1-2,-0.216326211,-0.097128713,1.311237624,-1.388940594
0,0.1-2,-0.262962992,-0.213683168,1.311237624,-1.388940594
0,0.1-2,-0.20774182,-0.194257426,1.311237624,-1.388940594
0,0.1-2,-0.153091546,-0.291386139,1.311237624,-1.388940594
0,0.1-2,-0.22707538,-0.213683168,1.311237624,-1.388940594
0,0.1-2,-0.336938339,-0.203970297,1.311237624,-1.388940594
0,0.1-2,-0.347335912,-0.165118812,1.311237624,-1.388940594
0,0.1-2,-0.328364381,-0.291386139,1.311237624,-1.388940594
0,0.1-2,-0.242908293,-0.291386139,1.311237624,-1.388940594
0,0.1-2,-0.084827398,-0.339950495,1.311237624,-1.388940594
0,0.1-2,-0.055788021,-0.213683168,1.311237624,-1.388940594
0,0.1-2,-0.105062891,-0.194257426,1.311237624,-1.388940594
0,0.1-2,-0.13473202,-0.058277228,1.311237624,-1.388940594
0,0.1-2,-0.184042365,-0.174831683,1.311237624,-1.388940594
0,0.1-2,-0.107014643,-0.174831683,1.311237624,-1.388940594
0,0.1-2,-0.025522035,-0.203970297,1.311237624,-1.388940594
0,0.1-2,0.029547286,-0.126267327,1.311237624,-1.388940594
0,0.1-2,0.105107657,-0.087415842,1.311237624,-1.388940594
0,0.1-2,0.102744527,0.058277228,1.311237624,-1.388940594
0,0.1-2,0.115981678,0.038851485,1.311237624,-1.388940594
0,0.1-2,0.183637885,0.038851485,1.311237624,-1.388940594
0,0.1-2,0.244366877,0.07770297,1.311237624,-1.388940594
0,0.1-2,0.316433908,0.106841584,1.311237624,-1.388940594
0,0.1-2,0.346377884,0.213683168,1.311237624,-1.388940594
0,0.1-2,0.387871551,0.281673267,1.311237624,-1.388940594
0,0.1-2,0.426305125,0.30109901,1.311237624,-1.388940594
0,0.1-2,0.514367284,0.271960396,1.311237624,-1.388940594
0,0.1-2,0.527630135,0.407940594,1.311237624,-1.388940594
0,0.1-2,0.60205735,0.398227723,1.311237624,-1.388940594
0,0.1-2,0.524155382,0.514782178,1.311237624,-1.388940594
0,0.1-2,0.566883801,0.505069307,1.311237624,-1.388940594
0,0.1-2,0.463328006,0.505069307,1.311237624,-1.388940594
0,0.1-2,0.330630738,0.45650495,1.311237624,-1.388940594
0,0.1-2,0.196387817,0.495356436,1.311237624,-1.388940594
0,0.1-2,0.176777812,0.194257426,1.311237624,-1.388940594
0,0.1-2,0.209259041,0.203970297,1.311237624,-1.388940594
0,0.1-2,0.202471897,0.116554455,1.311237624,-1.388940594
0,0.1-2,0.179976169,0.252534653,1.311237624,-1.388940594
0,0.1-2,0.117297515,0.126267327,1.311237624,-1.388940594
0,0.1-2,0.018940681,0.184544554,1.311237624,-1.388940594
0,0.1-2,-0.076255738,-0.019425743,1.311237624,-1.388940594
0,0.1-2,-0.17305153,0.038851485,1.311237624,-1.388940594
0,0.1-2,-0.257127372,-0.155405941,1.311237624,-1.388940594
0,0.1-2,-0.305543583,-0.135980198,1.311237624,-1.388940594
0,0.1-2,-0.363427096,-0.320524752,1.311237624,-1.388940594
0,0.1-2,-0.418262299,-0.203970297,1.311237624,-1.388940594
